Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017
"42101030000","Census Tract 300, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009095",,,,,"42","101",,,"030000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030000","Census Tract 300",,,,2618,423,335,199,161,165,116,238,84,57,131,311,167,75,62,0,94
"42101030100","Census Tract 301, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009096",,,,,"42","101",,,"030100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030100","Census Tract 301",,,,2368,693,224,189,156,142,63,108,112,93,77,83,92,46,85,182,23
"42101030200","Census Tract 302, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009097",,,,,"42","101",,,"030200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030200","Census Tract 302",,,,2817,76,187,108,44,187,411,19,223,60,134,362,301,380,133,70,122
"42101030501","Census Tract 305.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009098",,,,,"42","101",,,"030501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030501","Census Tract 305.01",,,,1762,270,81,86,148,84,126,91,138,101,210,145,64,119,70,29,0
"42101030502","Census Tract 305.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009099",,,,,"42","101",,,"030502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030502","Census Tract 305.02",,,,1859,254,78,18,70,54,179,37,74,81,185,135,315,107,134,85,53
"42101030600","Census Tract 306, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009100",,,,,"42","101",,,"030600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030600","Census Tract 306",,,,2805,179,330,126,172,47,215,38,56,18,275,268,448,178,166,53,236
"42101030700","Census Tract 307, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009101",,,,,"42","101",,,"030700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030700","Census Tract 307",,,,1885,186,69,103,37,77,75,71,172,143,141,165,328,178,28,53,59
"42101030800","Census Tract 308, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009102",,,,,"42","101",,,"030800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030800","Census Tract 308",,,,1843,21,26,64,125,69,55,102,94,59,394,120,109,309,134,91,71
"42101030900","Census Tract 309, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009103",,,,,"42","101",,,"030900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030900","Census Tract 309",,,,1498,74,98,118,8,125,128,44,74,112,184,100,115,146,75,72,25
"42101031000","Census Tract 310, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009104",,,,,"42","101",,,"031000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031000","Census Tract 310",,,,2169,84,97,140,72,91,183,271,51,52,82,238,307,74,61,297,69
"42101031101","Census Tract 311.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009105",,,,,"42","101",,,"031101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031101","Census Tract 311.01",,,,1788,214,180,168,30,44,48,62,274,58,150,108,214,80,36,88,34
"42101031102","Census Tract 311.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009106",,,,,"42","101",,,"031102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031102","Census Tract 311.02",,,,1372,154,0,43,76,96,128,25,73,95,57,134,162,170,92,45,22
"42101031200","Census Tract 312, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009107",,,,,"42","101",,,"031200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031200","Census Tract 312",,,,1795,139,69,14,177,96,84,96,110,87,315,125,118,34,198,58,75
"42101031300","Census Tract 313, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009108",,,,,"42","101",,,"031300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031300","Census Tract 313",,,,2398,197,155,109,169,88,30,187,172,50,219,156,375,240,150,101,0
"42101031401","Census Tract 314.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009109",,,,,"42","101",,,"031401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031401","Census Tract 314.01",,,,2069,180,58,101,174,109,116,7,190,59,236,171,351,71,50,146,50
"42101031402","Census Tract 314.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009110",,,,,"42","101",,,"031402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031402","Census Tract 314.02",,,,1769,101,101,114,65,105,144,58,99,74,139,89,395,139,71,9,66
"42101031501","Census Tract 315.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009111",,,,,"42","101",,,"031501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031501","Census Tract 315.01",,,,2290,0,91,143,27,67,43,126,206,266,459,281,137,69,47,302,26
"42101031502","Census Tract 315.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009112",,,,,"42","101",,,"031502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031502","Census Tract 315.02",,,,1362,139,0,182,60,225,13,62,146,55,78,88,57,115,66,66,10
"42101031600","Census Tract 316, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009113",,,,,"42","101",,,"031600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031600","Census Tract 316",,,,2132,227,0,120,199,71,69,109,31,82,77,412,205,361,52,0,117
"42101031700","Census Tract 317, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009114",,,,,"42","101",,,"031700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031700","Census Tract 317",,,,2406,187,168,91,601,190,0,123,75,55,184,146,229,197,25,14,121
"42101031800","Census Tract 318, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009115",,,,,"42","101",,,"031800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031800","Census Tract 318",,,,1855,122,19,125,32,102,97,62,64,51,317,424,227,118,71,24,0
"42101031900","Census Tract 319, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009116",,,,,"42","101",,,"031900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031900","Census Tract 319",,,,1826,183,41,39,143,80,90,111,218,119,197,183,169,109,37,26,81
