Geo_FIPS,Geo_SL040_FIPS,Geo_SL050_FIPS,Geo_SL140_FIPS,Geo_GISJOIN,Geo_GISJOIN2,Geo_state,Geo_county,Geo_prefix,Geo_tract,Geo_suffix,Geo_SUMLEV,Geo_SL040_Name,Geo_SL050_Name,Geo_Name,Geo_LongName,Geo_QName,Geo_QName2,Geo_seq,Geo_NHGISST,Geo_NHGISCTY,Geo_areatotal,Geo_shape_area,Geo_shape_len,Geo_year,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,PCT_SE_T009_002,PCT_SE_T009_003,PCT_SE_T009_004,SE_T010_001,SE_T010_002,SE_T010_003,PCT_SE_T010_002,PCT_SE_T010_003,SE_T001_001
"4210103412000",42,101,"03412000","G42010100034L","42010100034L","42","101",,"34","L","140","Pennsylvania","Philadelphia","34L","Census Tract 34L","Census Tract 34L, Philadelphia County, Pennsylvania","Census Tract 34L, Philadelphia County, Pennsylvania","183","420","1010",0.2324716906,602098.913802,5113.314984,"1940",5,5,0,0,100,0,0,5,5,0,100,0,5
"4210103413000",42,101,"03413000","G42010100034M","42010100034M","42","101",,"34","M","140","Pennsylvania","Philadelphia","34M","Census Tract 34M","Census Tract 34M, Philadelphia County, Pennsylvania","Census Tract 34M, Philadelphia County, Pennsylvania","184","420","1010",0.343562395,889822.517118,4486.746334,"1940",12516,12506,8,2,99.92,0.06,0.02,12516,12506,10,99.92,0.08,12516
"4210103414000",42,101,"03414000","G42010100034N","42010100034N","42","101",,"34","N","140","Pennsylvania","Philadelphia","34N","Census Tract 34N","Census Tract 34N, Philadelphia County, Pennsylvania","Census Tract 34N, Philadelphia County, Pennsylvania","185","420","1010",0.3336493136,864147.754099,3974.882882,"1940",90,89,1,0,98.89,1.11,0,90,89,1,98.89,1.11,90
"4210103415000",42,101,"03415000","G42010100034O","42010100034O","42","101",,"34","O","140","Pennsylvania","Philadelphia","34O","Census Tract 34O","Census Tract 34O, Philadelphia County, Pennsylvania","Census Tract 34O, Philadelphia County, Pennsylvania","186","420","1010",0.6152722162,1593547.7228,8423.332514,"1940",1,1,0,0,100,0,0,1,1,0,100,0,1
"4210103416000",42,101,"03416000","G42010100034P","42010100034P","42","101",,"34","P","140","Pennsylvania","Philadelphia","34P","Census Tract 34P","Census Tract 34P, Philadelphia County, Pennsylvania","Census Tract 34P, Philadelphia County, Pennsylvania","187","420","1010",0.2488728172,644577.636851,3288.895916,"1940",13789,8809,4963,17,63.88,35.99,0.12,13789,8809,4980,63.88,36.12,13789
"4210103417000",42,101,"03417000","G42010100034Q","42010100034Q","42","101",,"34","Q","140","Pennsylvania","Philadelphia","34Q","Census Tract 34Q","Census Tract 34Q, Philadelphia County, Pennsylvania","Census Tract 34Q, Philadelphia County, Pennsylvania","188","420","1010",0.282628851,732005.362824,3528.380389,"1940",13333,3381,9947,5,25.36,74.6,0.04,13333,3381,9952,25.36,74.64,13333
"4210103501000",42,101,"03501000","G42010100035A","42010100035A","42","101",,"35","A","140","Pennsylvania","Philadelphia","35A","Census Tract 35A","Census Tract 35A, Philadelphia County, Pennsylvania","Census Tract 35A, Philadelphia County, Pennsylvania","189","420","1010",1.2168518041,3151631.70085,7640.720284,"1940",235,220,15,0,93.62,6.38,0,235,220,15,93.62,6.38,235
"4210103502000",42,101,"03502000","G42010100035B","42010100035B","42","101",,"35","B","140","Pennsylvania","Philadelphia","35B","Census Tract 35B","Census Tract 35B, Philadelphia County, Pennsylvania","Census Tract 35B, Philadelphia County, Pennsylvania","190","420","1010",1.0080196339,2610758.86377,9102.634763,"1940",138,138,0,0,100,0,0,138,138,0,100,0,138
"4210103503000",42,101,"03503000","G42010100035C","42010100035C","42","101",,"35","C","140","Pennsylvania","Philadelphia","35C","Census Tract 35C","Census Tract 35C, Philadelphia County, Pennsylvania","Census Tract 35C, Philadelphia County, Pennsylvania","191","420","1010",2.1101479532,5465258.10342,11189.932916,"1940",6060,5075,981,4,83.75,16.19,0.07,6060,5075,985,83.75,16.25,6060
"4210103504000",42,101,"03504000","G42010100035D","42010100035D","42","101",,"35","D","140","Pennsylvania","Philadelphia","35D","Census Tract 35D","Census Tract 35D, Philadelphia County, Pennsylvania","Census Tract 35D, Philadelphia County, Pennsylvania","192","420","1010",0.8600688973,2227568.21532,7591.299298,"1940",311,311,0,0,100,0,0,311,311,0,100,0,311
"4210103505000",42,101,"03505000","G42010100035E","42010100035E","42","101",,"35","E","140","Pennsylvania","Philadelphia","35E","Census Tract 35E","Census Tract 35E, Philadelphia County, Pennsylvania","Census Tract 35E, Philadelphia County, Pennsylvania","193","420","1010",0.5284000856,1368549.93751,4910.843967,"1940",473,473,0,0,100,0,0,473,473,0,100,0,473
